K_star,Outlet length,C
1,0,2.8
0.25,0,2.8
0.2,0,1.333
0.15,0,0.86
0.1,0,0.61
1,1,1.6
0.25,1,0.78
0.2,1,0.69
0.15,1,0.6
0.1,1,0.49
1,2,0.97
0.25,2,0.73
0.2,2,0.68
0.15,2,0.61
0.1,2,0.51
1,3,0.91
0.25,3,0.78
0.2,3,0.7
0.15,3,0.63
0.1,3,0.55
1,4,0.9
0.25,4,0.8
0.2,4,0.74
0.15,4,0.68
0.1,4,0.58
1,5,0.91
0.25,5,0.82
0.2,5,0.78
0.15,5,0.7
0.1,5,0.6
1,6,0.93
0.25,6,0.85
0.2,6,0.79
0.15,6,0.72
0.1,6,0.62
1,10,0.99
0.25,10,0.91
0.2,10,0.86
0.15,10,0.8
0.1,10,0.72
1,15,1
0.25,15,1
0.2,15,0.94
0.15,15,0.89
0.1,15,0.81
1,20,1
0.25,20,1
0.2,20,1
0.15,20,0.97
0.1,20,0.9
1,30,1
0.25,30,1
0.2,30,1
0.15,30,1
0.1,30,0.99
1,40,1
0.25,40,1
0.2,40,1
0.15,40,1
0.1,40,1
